Date,z,beta,target_dir,position_dir,w_murata,w_taiyo,gross_return,turnover,transaction_cost,borrow_cost,net_return,equity,drawdown
2026-05-27,-1.9305459702867895,0.9417868238323487,1,1,0.5,-0.5,-0.0017110324052792003,0.0,0.0,1.984126984126984e-05,-0.0017308736751204701,1.2472466739736792,-0.0027291428014453167
2026-05-28,-2.6797906717497284,0.9361616984312553,1,1,0.5,-0.5,-0.03907408599974238,0.0,0.0,1.984126984126984e-05,-0.03909392726958365,1.198486903214122,-0.04171637716084098
2026-05-29,-2.470748846119783,0.9264871971283813,1,1,0.5,-0.5,-0.005713121553253209,0.0,0.0,1.984126984126984e-05,-0.005732962823094478,1.19161602235403,-0.04721018154455814
2026-06-01,-2.082229247900812,0.916997771500052,1,1,0.5,-0.5,0.0029168401628746343,0.0,0.0,1.984126984126984e-05,0.0028969988930333643,1.1950681326517105,-0.044449950495199175
2026-06-02,-2.393971253876469,0.9095203913850884,1,1,0.5,-0.5,-0.01752974130613627,0.0,0.0,1.984126984126984e-05,-0.01754958257597754,1.17409518577382,-0.06121945499446313
2026-06-03,-2.3385917138038668,0.9013455412376966,1,1,0.5,-0.5,-0.006892324005500661,0.0,0.0,1.984126984126984e-05,-0.00691216527534193,1.165979645800768,-0.06770846127881691
2026-06-04,-2.362319598197613,0.893908727789826,1,1,0.5,-0.5,-0.005207837969461726,0.0,0.0,1.984126984126984e-05,-0.005227679239302996,1.1598842782129655,-0.07258218240076753
2026-06-05,-2.2975206608088556,0.8870706184740865,1,1,0.5,-0.5,-0.002940233071910936,0.0,0.0,1.984126984126984e-05,-0.002960074341752206,1.1564509345216256,-0.07532740808672678
2026-06-08,-2.924992228219308,0.8807232262864046,1,1,0.5,-0.5,-0.023145284489224205,0.0,0.0,1.984126984126984e-05,-0.023165125759065475,1.1296616031892432,-0.09674756496435888
2026-06-09,-3.4447839550077965,0.8733785574408099,1,1,0.5,-0.5,-0.043858828733229105,0.0,0.0,1.984126984126984e-05,-0.04387867000307037,1.080093554487763,-0.1363810804907576
2026-06-10,-3.0899140279584434,0.8639757239979899,1,1,0.5,-0.5,0.010778400320985093,0.0,0.0,1.984126984126984e-05,0.010758559051143823,1.0917138047744794,-0.12708978534753235
2026-06-11,-3.09055012799779,0.8563457244750092,1,1,0.5,-0.5,-0.012816511373307748,0.0,0.0,1.984126984126984e-05,-0.012836352643149019,1.0777001813910003,-0.13829476868861823
2026-06-12,-2.8757331583197305,0.8487621281525226,1,1,0.5,-0.5,0.004292498028952374,0.0,0.0,1.984126984126984e-05,0.004272656759111104,1.082304824355316,-0.13461299800769422
2026-06-15,-2.828008381118773,0.8420264699480228,1,1,0.5,-0.5,-0.02530401038774943,0.0,0.0,1.984126984126984e-05,-0.025323851657590702,1.0548966975350471,-0.1565279300725546
2026-06-16,-2.5400965043737176,0.8346689202926476,1,1,0.5,-0.5,-0.00010399103950320399,0.0,0.0,1.984126984126984e-05,-0.00012383230934447383,1.0547660672408716,-0.15663237916684114
2026-06-17,-2.3093612234502,0.8279950888765355,1,1,0.5,-0.5,-0.000313968862755476,0.0,0.0,1.984126984126984e-05,-0.0003338101325967458,1.0544139756401074,-0.15691390382417925
2026-06-18,-0.7275379388860317,0.8218916694673469,1,1,0.5,-0.5,0.06412377775302713,0.0,0.0,1.984126984126984e-05,0.06410393648318587,1.1220060621615244,-0.10286876626506725
2026-06-19,-0.4009004337392614,0.8195943824121389,0,1,0.5,-0.5,0.01393390386601484,0.0,0.0,1.984126984126984e-05,0.01391406259617357,1.137617724743726,-0.09038602612189706
2026-06-22,1.0872496707936363,0.8182044021647137,-1,0,0.0,-0.0,0.06696647407758277,1.0,0.001,1.984126984126984e-05,0.0659466328077415,1.212639783112979,-0.030400047389767093
2026-06-23,0.1038760006283663,0.819879107270037,0,-1,-0.5,0.5,0.0,1.0,0.001,0.0,-0.001,1.211427143329866,-0.03136964734237735
2026-06-24,0.13558548866752765,0.8196579879880396,0,0,0.0,-0.0,-0.0012835142056730753,1.0,0.001,1.984126984126984e-05,-0.0023033554755143453,1.2086367959860904,-0.033600747368920714
2026-06-25,-0.07717200515240813,0.819581344805649,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.2086367959860904,-0.033600747368920714
2026-06-26,-0.06430881247672121,0.8191634390178336,0,0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.2086367959860904,-0.033600747368920714
2026-06-29,-1.1259375658275723,0.8187733030194876,1,0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,1.2086367959860904,-0.033600747368920714
2026-06-30,-1.150635869789836,0.8165777706478546,1,1,0.5,-0.5,0.0,1.0,0.001,0.0,-0.001,1.2074281591901044,-0.03456714662155169
2026-07-01,-1.744289750620452,0.8143239999710354,1,1,0.5,-0.5,-0.04043875627832938,0.0,0.0,1.984126984126984e-05,-0.04045859754817065,1.1585773092291034,-0.07362720589617244
2026-07-02,-1.7124700803820514,0.8109831657523896,1,1,0.5,-0.5,0.007085336247315277,0.0,0.0,1.984126984126984e-05,0.007065494977474007,1.166763231388477,-0.06708192357216325
2026-07-03,-1.4938474290491381,0.8080379817278999,1,1,0.5,-0.5,0.005503718728870899,0.0,0.0,1.984126984126984e-05,0.005483877459029629,1.1731616179731128,-0.06196591516171934
2026-07-06,-1.287571709262404,0.8052571205098362,1,1,0.5,-0.5,0.015439095225385946,0.0,0.0,1.984126984126984e-05,0.015419253955544675,1.191250894891538,-0.04750212938864096
