period,start,end,strategy,tc_bp,borrow_rate,total_return,ann_return,ann_vol,sharpe,max_drawdown,trades,win_rate,avg_holding_days,turnover
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,10.0,0.05,0.11272754689930964,0.18075669636766145,0.19241633201795968,0.9582107603424532,-0.1579953803936276,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,20.0,0.01,0.10556456348954102,0.1689542230025285,0.19202606562186925,0.9074390106926539,-0.1577578338503809,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,20.0,0.03,0.10364018823659826,0.1657906446556865,0.19199664245779494,0.8934317362872783,-0.15829819336567208,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,low_confirmed_gate,20.0,0.05,0.1017190865654094,0.16263550318230524,0.1919676262800785,0.8794183036017402,-0.15883822786070134,5,0.6,8.8,10.0
holdout_2026,2026-01-05,2026-09-01,conservative,5.0,0.01,0.01761134873285397,0.027529103480115946,0.13997246149176995,0.2620704685814063,-0.11769551305791126,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,5.0,0.03,0.016965921290347685,0.026515498784078106,0.1399629355408397,0.25503176332163946,-0.11812001789883675,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,5.0,0.05,0.016320877625888297,0.025502853792244373,0.1399536628911233,0.24799165104143212,-0.11854433551341403,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,10.0,0.01,0.016625423462080846,0.025980911544347673,0.1396076566361305,0.2516129405970886,-0.11769551305791115,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,10.0,0.03,0.015980603616308597,0.0249688062305371,0.13959828431388188,0.2445548586996701,-0.11812001789883664,1,1.0,16.0,2.0
holdout_2026,2026-01-05,2026-09-01,conservative,10.0,0.05,0.015336167197932182,0.023957659227769268,0.1395891659750706,0.23749539688510451,-0.11854433551341415,1,1.0,16.0,2.0
